"","palabra","freq","magrado","mactivacion","mimag"
"3067","exigimos",1,NA,NA,NA
"3068","existencia",1,2.6,2,1.8
"3069","existentes",1,NA,NA,NA
"3070","expandirá",1,NA,NA,NA
"3071","expansión",1,2,2.8,2.6
"3072","expectativas",1,NA,NA,NA
"3073","expediente",1,NA,NA,NA
"3074","experimental",1,NA,NA,NA
"3075","explican",1,NA,NA,NA
"3076","expone",1,NA,NA,NA
"3077","exponer",1,2.4,2.6,2.4
"3078","exportadores",1,NA,NA,NA
"3079","expuestas",1,NA,NA,NA
"3080","extenderá",1,NA,NA,NA
"3081","extendiendo",1,NA,NA,NA
"3082","extendió",1,NA,NA,NA
"3083","exterminando",1,NA,NA,NA
"3084","externada",1,NA,NA,NA
"3085","extiende",1,NA,NA,NA
"3086","extraordinario",1,2.8,2.6,2.6
"3087","extremas",1,NA,NA,NA
"3088","extremos",1,NA,NA,NA
"3089","fábrica",1,2,2.2,2.8
"3090","fabricación",1,NA,NA,NA
"3091","fabricanrespiradores",1,NA,NA,NA
"3092","fabricar",1,2.8,3,3
"3093","facebookcom",1,NA,NA,NA
"3094","faceta",1,NA,NA,NA
"3095","facial",1,NA,NA,NA
"3096","fácil",1,2,1.8,2.8
"3097","factores",1,NA,NA,NA
"3098","facturan",1,NA,NA,NA
"3099","faena",1,NA,NA,NA
"3100","fallas",1,NA,NA,NA
"3101","fallecer",1,1.2,1.7,2.8
"3102","faltan",1,NA,NA,NA
"3103","falte",1,NA,NA,NA
"3104","familiar",1,2.7,2.2,2.5
"3105","familiares",1,NA,NA,NA
"3106","fantástico",1,NA,NA,NA
"3107","fármaco",1,NA,NA,NA
"3108","fasce",1,NA,NA,NA
"3109","fatalesconcontagios",1,NA,NA,NA
"3110","fatalidad",1,NA,NA,NA
"3111","favorablemente",1,NA,NA,NA
"3112","febrero",1,NA,NA,NA
"3113","febril",1,NA,NA,NA
"3114","federalista",1,NA,NA,NA
"3115","feen",1,NA,NA,NA
"3116","ferrarese",1,NA,NA,NA
"3117","fesantiago",1,NA,NA,NA
"3118","ficción",1,2.6,2.6,2.8
"3119","fidanza",1,NA,NA,NA
"3120","fiebre",1,NA,NA,NA
"3121","figurar",1,2,2.4,1.2
"3122","figure",1,NA,NA,NA
"3123","fijador",1,NA,NA,NA
"3124","fijamos",1,NA,NA,NA
"3125","fijar",1,2.4,3,2.6
"3126","fila",1,1.8,1.2,2.6
"3127","filamento",1,NA,NA,NA
"3128","finalizado",1,NA,NA,NA
"3129","finalizaron",1,NA,NA,NA
"3130","financia",1,NA,NA,NA
"3131","financiamiento",1,NA,NA,NA
"3132","financiar",1,NA,NA,NA
"3133","financiera",1,NA,NA,NA
"3134","financiero",1,NA,NA,NA
"3135","fino",1,2.2,1.4,2
"3136","firmará",1,NA,NA,NA
"3137","firmeza",1,NA,NA,NA
"3138","firmó",1,NA,NA,NA
"3139","fiscal",1,NA,NA,NA
"3140","flexibilidad",1,NA,NA,NA
"3141","flexibilización",1,NA,NA,NA
"3142","floreros",1,NA,NA,NA
"3143","flota",1,NA,NA,NA
"3144","fondose",1,NA,NA,NA
"3145","formal",1,NA,NA,NA
"3146","formaron",1,NA,NA,NA
"3147","forme",1,NA,NA,NA
"3148","formó",1,NA,NA,NA
"3149","formuló",1,NA,NA,NA
"3150","fragilidad",1,NA,NA,NA
"3151","frase",1,2.2,1.8,2.8
"3152","frases",1,NA,NA,NA
"3153","freáticas",1,NA,NA,NA
"3154","frecuente",1,2.6,2.2,2.2
"3155","frecuentemente",1,2.2,2.4,2
"3156","fríos",1,NA,NA,NA
"3157","frutas",1,NA,NA,NA
"3158","fucci",1,NA,NA,NA
"3159","fuegoy",1,NA,NA,NA
"3160","fuente",1,2.2,1.2,3
"3161","fuere",1,NA,NA,NA
"3162","fuerony",1,NA,NA,NA
"3163","fuerzas",1,NA,NA,NA
"3164","fumigación",1,NA,NA,NA
"3165","fumigar",1,NA,NA,NA
"3166","fumigaron",1,NA,NA,NA
"3167","funciona",1,NA,NA,NA
"3168","funcionando",1,NA,NA,NA
"3169","funcionarán",1,NA,NA,NA
"3170","funcionariado",1,NA,NA,NA
"3171","fundación",1,2.5,2.5,1.8333
"3172","fundadas",1,NA,NA,NA
"3173","furia",1,1.2,3,3
"3174","futuro",1,2.6,2.3,1.7
"3175","galia",1,NA,NA,NA
"3176","ganadera",1,NA,NA,NA
"3177","garantice",1,NA,NA,NA
"3178","gas",1,NA,NA,NA
"3179","gatica",1,NA,NA,NA
"3180","generación",1,2.1429,2,2.1429
"3181","generadas",1,NA,NA,NA
"3182","generales",1,NA,NA,NA
"3183","generalizado",1,NA,NA,NA
"3184","generara",1,NA,NA,NA
"3185","generó",1,NA,NA,NA
"3186","generosos",1,NA,NA,NA
"3187","geografía",1,2.2,1.8,2.4
"3188","geolocalización",1,NA,NA,NA
"3189","ginés",1,NA,NA,NA
"3190","ginesggarcia⁩",1,NA,NA,NA
"3191","giro",1,2,2.2,2.2
"3192","giuseppe",1,NA,NA,NA
"3193","globalizado",1,NA,NA,NA
"3194","gloria",1,2.8,2.2,2
