"","palabra","freq","magrado","mactivacion","mimag"
"1254","presentó",1,NA,NA,NA
"1255","preservar",1,NA,NA,NA
"1256","presidió",1,NA,NA,NA
"1257","pretendido",1,NA,NA,NA
"1258","prevenciones",1,NA,NA,NA
"1259","preventiva",1,NA,NA,NA
"1260","previas",1,NA,NA,NA
"1261","primero",1,2.775,2.45,2.35
"1262","primeros",1,NA,NA,NA
"1263","primeroscasos",1,NA,NA,NA
"1264","primordial",1,NA,NA,NA
"1265","principal",1,2.6,2.3,2.2
"1266","principalmente",1,2,2.2,1.6
"1267","principio",1,2.4,2.4,1.8
"1268","privada",1,NA,NA,NA
"1269","privadas",1,NA,NA,NA
"1270","privados",1,NA,NA,NA
"1271","privilegiar",1,NA,NA,NA
"1272","probabilidades",1,NA,NA,NA
"1273","problemas",1,NA,NA,NA
"1274","problemática",1,NA,NA,NA
"1275","procedencia",1,NA,NA,NA
"1276","procedimientos",1,NA,NA,NA
"1277","procesaron",1,NA,NA,NA
"1278","procrear",1,NA,NA,NA
"1279","producir",1,2.4,3,2.2
"1280","produjo",1,NA,NA,NA
"1281","profesionales",1,NA,NA,NA
"1282","progresión",1,NA,NA,NA
"1283","prohibición",1,NA,NA,NA
"1284","prohibir",1,1.2,2.2,2.4
"1285","promoción",1,2.8,2.4,2.2
"1286","pronta",1,NA,NA,NA
"1287","pronto",1,NA,NA,NA
"1288","propaga",1,NA,NA,NA
"1289","propagando",1,NA,NA,NA
"1290","propietarios",1,NA,NA,NA
"1291","propuesta",1,2.6,2.8,2.2
"1292","protección",1,2.4,3,2.8
"1293","protocolo",1,NA,NA,NA
"1294","provengan",1,NA,NA,NA
"1295","proveniente",1,2.2,1.8,2.2
"1296","provenientes",1,NA,NA,NA
"1297","provocó",1,NA,NA,NA
"1298","próxima",1,NA,NA,NA
"1299","próximos",1,NA,NA,NA
"1300","proyecto",1,2.5,2.1667,2.6667
"1301","psicofísica",1,NA,NA,NA
"1302","pubs",1,NA,NA,NA
"1303","pudieran",1,NA,NA,NA
"1304","pudo",1,NA,NA,NA
"1305","puedan",1,NA,NA,NA
"1306","puede",1,NA,NA,NA
"1307","puesta",1,NA,NA,NA
"1308","puesto",1,2,2.4,1.8
"1309","puntos",1,NA,NA,NA
"1310","puso",1,NA,NA,NA
"1311","quedaron",1,NA,NA,NA
"1312","quepersonas",1,NA,NA,NA
"1313","queridas",1,NA,NA,NA
"1314","quizá",1,2.2,1.6,1.6
"1315","radio",1,2.6,2,3
"1316","rápidamente",1,2.2,2.6,2.8
"1317","rápido",1,2,3,2.2
"1318","rastrearon",1,NA,NA,NA
"1319","raúl",1,NA,NA,NA
"1320","realizados",1,NA,NA,NA
"1321","realizando",1,NA,NA,NA
"1322","realizó",1,NA,NA,NA
"1323","recibió",1,NA,NA,NA
"1324","recibir",1,2.6667,2.1667,2.6667
"1325","recién",1,2.25,2.375,2.625
"1326","recluirse",1,NA,NA,NA
"1327","recomendación",1,NA,NA,NA
"1328","recomendadas",1,NA,NA,NA
"1329","reconocidos",1,NA,NA,NA
"1330","recordó",1,NA,NA,NA
"1331","recorridos",1,NA,NA,NA
"1332","recuerda",1,NA,NA,NA
"1333","reducción",1,NA,NA,NA
"1334","reducen",1,NA,NA,NA
"1335","reducidos",1,NA,NA,NA
"1336","referentes",1,NA,NA,NA
"1337","refiera",1,NA,NA,NA
"1338","régimen",1,1.4,2,2.2
"1339","registradas",1,NA,NA,NA
"1340","registrados",1,NA,NA,NA
"1341","registrar",1,2,2.6,2.2
"1342","regresar",1,2.4,3,2.8
"1343","regresó",1,NA,NA,NA
"1344","regulares",1,NA,NA,NA
"1345","reiteró",1,NA,NA,NA
"1346","relaciones",1,NA,NA,NA
"1347","relevamiento",1,NA,NA,NA
"1348","relevamientos",1,NA,NA,NA
"1349","renal",1,NA,NA,NA
"1350","reportó",1,NA,NA,NA
"1351","representación",1,2.4,2.4,1.8
"1352","representantes",1,NA,NA,NA
"1353","representen",1,NA,NA,NA
"1354","requeridos",1,NA,NA,NA
"1355","requerimientos",1,NA,NA,NA
"1356","reseñándole",1,NA,NA,NA
"1357","reside",1,NA,NA,NA
"1358","resolucióndel",1,NA,NA,NA
"1359","resoluciónel",1,NA,NA,NA
"1360","respetadas",1,NA,NA,NA
"1361","respetar",1,3,2.8,2.6
"1362","respetaremos",1,NA,NA,NA
"1363","respiratoria",1,NA,NA,NA
"1364","respiratorias",1,NA,NA,NA
"1365","respiratorio",1,NA,NA,NA
"1366","responsabilidad",1,2.2,2.6,2.6
"1367","respuesta",1,2.1667,2.8333,1.8333
"1368","restaurantes",1,NA,NA,NA
"1369","resto",1,2.1667,2,1.8333
"1370","resuelto",1,NA,NA,NA
"1371","resuelva",1,NA,NA,NA
"1372","resulta",1,NA,NA,NA
"1373","retirarlo",1,NA,NA,NA
"1374","retornó",1,NA,NA,NA
"1375","reunió",1,NA,NA,NA
"1376","reunirán",1,NA,NA,NA
"1377","rigordías",1,NA,NA,NA
"1378","roberto",1,NA,NA,NA
"1379","ruido",1,1.4,2.6,3
"1380","ruta",1,2.4,2.2,3
"1381","saber",1,2.9,2.9,2.4
"1382","saladel",1,NA,NA,NA
"1383","salimos",1,NA,NA,NA
"1384","saliva",1,NA,NA,NA
"1385","salones",1,NA,NA,NA
"1386","salto",1,2.4,2.8,2.6
"1387","sanciones",1,NA,NA,NA
"1388","sanidad",1,NA,NA,NA
"1389","santa",1,NA,NA,NA
"1390","santarroseño",1,NA,NA,NA
"1391","santarroseños",1,NA,NA,NA
"1392","santillán",1,NA,NA,NA
"1393","secreciones",1,NA,NA,NA
"1394","secretaria",1,NA,NA,NA
"1395","secretarías",1,NA,NA,NA
"1396","secretario",1,2,2.4,2.8
"1397","seguirán",1,NA,NA,NA
"1398","segunda",1,NA,NA,NA
"1399","segundo",1,2,1.6,1.8
"1400","selección",1,2,2.4,2.8
"1401","señala",1,NA,NA,NA
"1402","senderos",1,NA,NA,NA
"1403","sensibilizada",1,NA,NA,NA
"1404","sensibilizar",1,NA,NA,NA
"1405","sepan",1,NA,NA,NA
"1406","serios",1,NA,NA,NA
"1407","servicio",1,2.6,2.4,1.6
"1408","servirán",1,NA,NA,NA
"1409","sesión",1,2,2,2.2
"1410","sexto",1,NA,NA,NA
"1411","siempre",1,NA,NA,NA
"1412","sienta",1,NA,NA,NA
"1413","sientan",1,NA,NA,NA
"1414","sigue",1,NA,NA,NA
"1415","siguen",1,NA,NA,NA
"1416","siguiendo",1,NA,NA,NA
"1417","siguientes",1,NA,NA,NA
"1418","silvio",1,NA,NA,NA
"1419","simultáneamente",1,NA,NA,NA
"1420","sitio",1,2.2,1.4,2.2
"1421","situaciones",1,NA,NA,NA
"1422","sociedad",1,2.6,2.6,2.8
"1423","soledad",1,1.4,1.2,3
"1424","solicitan",1,NA,NA,NA
"1425","solicitará",1,NA,NA,NA
"1426","solicitaron",1,NA,NA,NA
"1427","solicitó",1,NA,NA,NA
"1428","sólo",1,2,1.8,2
"1429","solucione",1,NA,NA,NA
"1430","sonlos",1,NA,NA,NA
"1431","sospechaba",1,NA,NA,NA
"1432","sospechoso",1,NA,NA,NA
"1433","sospechososafirmó",1,NA,NA,NA
"1434","subsecretario",1,NA,NA,NA
"1435","sucedió",1,NA,NA,NA
"1436","sufrirá",1,NA,NA,NA
"1437","sugieren",1,NA,NA,NA
"1438","sujetas",1,NA,NA,NA
"1439","sumaron",1,NA,NA,NA
"1440","sumarse",1,NA,NA,NA
"1441","sumarsoldados",1,NA,NA,NA
"1442","sumó",1,NA,NA,NA
"1443","super",1,2.6,2.6,2.4
"1444","súper",1,NA,NA,NA
"1445","superficies",1,NA,NA,NA
"1446","superior",1,2,2.2,2.6
"1447","suplentes",1,NA,NA,NA
"1448","supo",1,NA,NA,NA
"1449","supone",1,NA,NA,NA
"1450","suspendemos",1,NA,NA,NA
"1451","suspenderlo",1,NA,NA,NA
